0s | Value: 20.41øC,
1s | Value: 24.67øC,
2s | Value: 23.34øC,
3s | Value: 20øC,
4s | Value: 21.69øC,
5s | Value: 22.24øC,
6s | Value: 24.78øC,
7s | Value: 23.58øC,
8s | Value: 24.62øC,
9s | Value: 24.64øC,
10s | Value: 22.05øC,
11s | Value: 21.45øC,
12s | Value: 22.81øC,
13s | Value: 23.27øC,
14s | Value: 24.61øC,
15s | Value: 24.91øC,
16s | Value: 24.95øC,
17s | Value: 24.42øC,
18s | Value: 23.27øC,
19s | Value: 24.36øC,
20s | Value: 23.91øC,
21s | Value: 21.04øC,
22s | Value: 24.02øC,
23s | Value: 21.53øC,
24s | Value: 22.92øC,
25s | Value: 23.82øC,
26s | Value: 24.21øC,
27s | Value: 22.16øC,
28s | Value: 22.18øC,
29s | Value: 23.95øC,
30s | Value: 24.47øC,
